Timestamp,CPU Usage (%),Memory Usage (%),Download Speed (Mbps),Upload Speed (Mbps),Disk Read (GB),Disk Write (GB)
2024-01-08 07:54:36.976459,9.8,65.3,362.72349805283403,483.014257121255,605.5205864906311,73510.81158781052
2024-01-08 07:54:58.531390,10.8,65.5,400.6726992536486,488.95255996792713,605.5266251564026,73514.29537534714
2024-01-08 07:55:20.446676,17.9,64.9,389.7653384353128,457.44839485965053,605.5961022377014,73521.05561304092
